category,id,owner,title,datetaken,tags,latitude,longitude,place_id,url_n,img_id,text
bridge,11092536075,47746028@N02,undecided,1385543026,street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2,24.332169,124.159069,gxZHUJVTWr8HPt7PNA,https://live.staticflickr.com/7346/11092536075_66116c5ba1_n.jpg,bridge-24.332169-124.159069-1385543026-47746028@N02-11092536075-n.jpg,undecided street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2
bridge,11085071814,47746028@N02,undecided,1385542839,street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2,24.332169,124.159069,gxZHUJVTWr8HPt7PNA,https://live.staticflickr.com/3719/11085071814_366101156d_n.jpg,bridge-24.332169-124.159069-1385542839-47746028@N02-11085071814-n.jpg,undecided street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2
bridge,11083863874,47746028@N02,undecided,1385543293,street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2,24.333411,124.159873,TqV2h51TWr.Ie2x.vA,https://live.staticflickr.com/5530/11083863874_6233d124ce_n.jpg,bridge-24.333411-124.159873-1385543293-47746028@N02-11083863874-n.jpg,undecided street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2
bridge,11083579295,47746028@N02,undecided,1385542790,street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2,24.332169,124.159069,gxZHUJVTWr8HPt7PNA,https://live.staticflickr.com/7383/11083579295_d5fc9532e9_n.jpg,bridge-24.332169-124.159069-1385542790-47746028@N02-11083579295-n.jpg,undecided street bridge autumn light japan canon seaside gate scene southern 5d okinawa undecided ishigaki 石垣島 mk3 mark3 primelens 2013 ef24mm サザンゲートブリッジ f14l2
bridge,8601420999,58098825@N05,仲間川マングローブクルーズ,1364106898,2013 旅行 沖縄県 竹富町 日本 okinawa japan travel 離島 西表島 iriomoteisland 八重山諸島 island 仲間川 river bridge,24.278547,123.881602,Wu6m1u9QU7rAw3FW,https://live.staticflickr.com/8393/8601420999_71149e13b1_n.jpg,bridge-24.278547-123.881602-1364106898-58098825@N05-8601420999-n.jpg,仲間川マングローブクルーズ 2013 旅行 沖縄県 竹富町 日本 okinawa japan travel 離島 西表島 iriomoteisland 八重山諸島 island 仲間川 river bridge
bridge,8602519182,58098825@N05,仲間川マングローブクルーズ,1364106941,2013 仲間川 旅行 沖縄県 竹富町 西表島 日本 okinawa japan travel iriomoteisland 離島 river 空 sky bridge 八重山諸島 island landscape 風景,24.280305,123.880500,Wu6m1u9QU7rAw3FW,https://live.staticflickr.com/8521/8602519182_06d5309dd2_n.jpg,bridge-24.280305-123.880500-1364106941-58098825@N05-8602519182-n.jpg,仲間川マングローブクルーズ 2013 仲間川 旅行 沖縄県 竹富町 西表島 日本 okinawa japan travel iriomoteisland 離島 river 空 sky bridge 八重山諸島 island landscape 風景
bridge,8601418571,58098825@N05,仲間川マングローブクルーズ,1364107054,2013 仲間川 旅行 沖縄県 竹富町 日本 okinawa japan travel 離島 river 西表島 iriomoteisland 八重山諸島 island bridge,24.282277,123.878466,Wu6m1u9QU7rAw3FW,https://live.staticflickr.com/8546/8601418571_988cedfb16_n.jpg,bridge-24.282277-123.878466-1364107054-58098825@N05-8601418571-n.jpg,仲間川マングローブクルーズ 2013 仲間川 旅行 沖縄県 竹富町 日本 okinawa japan travel 離島 river 西表島 iriomoteisland 八重山諸島 island bridge
bridge,8601310935,58098825@N05,仲間川マングローブクルーズ,1364110447,2013 仲間川 旅行 沖縄県 竹富町 日本 okinawa japan travel 離島 river 西表島 iriomoteisland 八重山諸島 island bridge,24.281330,123.879963,Wu6m1u9QU7rAw3FW,https://live.staticflickr.com/8110/8601310935_331d96f660_n.jpg,bridge-24.281330-123.879963-1364110447-58098825@N05-8601310935-n.jpg,仲間川マングローブクルーズ 2013 仲間川 旅行 沖縄県 竹富町 日本 okinawa japan travel 離島 river 西表島 iriomoteisland 八重山諸島 island bridge
bridge,52203265122,128275472@N07,Irabu Bridge panorama,1655605061,okinawa miyako islands bridge emeraldgreen emerald blue sea seascape panorama road,24.794894,125.251022,,https://live.staticflickr.com/65535/52203265122_9dfcb8fde2_n.jpg,bridge-24.794894-125.251022-1655605061-128275472@N07-52203265122-n.jpg,Irabu Bridge panorama okinawa miyako islands bridge emeraldgreen emerald blue sea seascape panorama road
bridge,52204774250,128275472@N07,Okinawa driving,1655606347,okinawa miyako islands bridge emeraldgreen emerald blue sea seascape road,24.795530,125.244905,,https://live.staticflickr.com/65535/52204774250_269993b597_n.jpg,bridge-24.795530-125.244905-1655606347-128275472@N07-52204774250-n.jpg,Okinawa driving okinawa miyako islands bridge emeraldgreen emerald blue sea seascape road
